0   Reward 66	     ; Destiny Islands ; Day1
1   Potion           ; ? ; ?
2   Ether            ; ? ; ?
3   Ether            ; ? ; ?
4   Potion           ; ? ; ?
5   Potion           ; ? ; ?
6   Ether            ; ? ; ?
7   Ether            ; ? ; ?
8   Potion           ; ? ; ?
9   Potion           ; ? ; ?
a   Ether            ; ? ; ?
b   Ether            ; ? ; ?
c   Potion           ; ? ; ?
d   Potion           ; ? ; ?
e   Ether            ; ? ; ?
f   Ether            ; ? ; ?
10  Potion           ; ? ; ?
11  Potion           ; ? ; ?
12  Potion           ; ? ; ?
13  Potion           ; ? ; ?
14  Reward 3f        ; 1st District ; Blizzard Magic
15  Postcard         ; 1st District
16  Postcard         ; 2nd District
17  Mythril Shard    ; 2nd District
18  Mega-Potion      ; 2nd District
19  Potion           ; Alleyway
1a  Pretty Stone     ; Alleyway
1b  Potion           ; Alleyway
1c  Mega-Potion      ; ? ; ?
1d  Mythril          ; Green Room
1e  Reward 40        ; Green Room
1f  Pretty Stone     ; Red Room
20  Reward 41        ; Mystical House ; Fire Magic ; High Jump OR Yellow Trinity
21  Mythril Shard    ; Accessory Shop
22  Reward 42        ; Secret Waterway ; White Trinity
23  Reward 33        ; Gepetto's House ; High Jump OR Glide
24  Mythril Shard    ; ? ; ?
25  Potion           ; ? ; ?
26  Potion           ; ? ; ?
27  Potion           ; ? ; ?
28  Postcard         ; 1st District ; Blue Trinity OR Glide
29  Potion           ; ? ; ?
2a  Potion           ; ? ; ?
2b  Potion           ; ? ; ?
2c  Potion           ; ? ; ?
2d  Potion           ; ? ; ?
2e  Potion           ; ? ; ?
2f  Potion           ; ? ; ?
30  Potion           ; ? ; ?
31  Potion           ; ? ; ?
32  Potion           ; ? ; ?
33  Potion           ; ? ; ?
34  Potion           ; ? ; ?
35  Potion           ; ? ; ?
36  Potion           ; ? ; ?
37  Potion           ; ? ; ?
38  Potion           ; ? ; ?
39  Potion           ; ? ; ?
3a  Potion           ; ? ; ?
3b  Potion           ; ? ; ?
3c  Potion           ; ? ; ?
3d  Potion           ; ? ; ?
3e  Potion           ; ? ; ?
3f  Potion           ; ? ; ?
40  Potion           ; ? ; ?
41  Potion           ; ? ; ?
42  Potion           ; ? ; ?
43  Potion           ; ? ; ?
44  Potion           ; ? ; ?
45  Potion           ; ? ; ?
46  Potion           ; ? ; ?
47  Potion           ; ? ; ?
48  Potion           ; ? ; ?
49  Potion           ; ? ; ?
4a  Potion           ; ? ; ?
4b  Potion           ; ? ; ?
4c  Potion           ; ? ; ?
4d  Potion           ; ? ; ?
4e  Potion           ; ? ; ?
4f  Potion           ; ? ; ?
50  Potion           ; ? ; ?
51  Potion           ; ? ; ?
52  Potion           ; ? ; ?
53  Potion           ; ? ; ?
54  Potion           ; ? ; ?
55  Potion           ; ? ; ?
56  Potion           ; ? ; ?
57  Potion           ; ? ; ?
58  Dalmatians 1     ; Mystical House ; Glide ; Fire Magic
59  Dalmatians 2     ; Alleyway ; Red Trinity
5a  Dalmatians 3     ; Item Workshop ; Green Trinity
5b  Dalmatians 4     ; Secret Waterway
5c  Reward 74        ; Rabbit hole ; Green Trinity
5d  Reward 43        ; Rabbit hole
5e  Reward 44        ; Rabbit hole
5f  Reward 45        ; Rabbit hole
60  Reward 46        ; Bizarre Room ; Green Trinity
61  Mega-Potion      ; ? ; ?
62  Mega-Potion      ; ? ; ?
63  Mega-Potion      ; ? ; ?
64  Thundara-G       ; Queen's Castle
65  Dalmatians 5     ; Queen's Castle ; Evidence OR High Jump OR Glide
66  Meteor-G         ; Queen's Castle
67  Thundara-G       ; Lotus Forest ; Thunder Magic ; Evidence
68  Dalmatians 20    ; Lotus Forest ; Thunder Magic
69  Reward 47        ; Lotus Forest ; Glide OR High Jump
6a  Dalmatians 6     ; Lotus Forest
6b  Scan-G           ; Lotus Forest
6c  Defense Up       ; Bizarre Room
6d  Mega-Potion      ; ? ; ?
6e  Flare-G          ; Tea Party Garden ; Glide OR High Jump ; Evidence OR Glide
6f  Dalmatians 7     ; Tea Party Garden ; Glide OR High Jump ; Evidence OR Glide
70  Reward 99        ; Tea Party Garden ; Evidence OR Glide
71  Reward 32        ; Tea Party Garden ; Glide OR High Jumpra ; Evidence OR Glide
72  Reward 48        ; Lotus Forest ; White Trinity
